기업 이름,복지 카테고리,복지 혜택
,,
'원스토어(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '통신비 지원', '콘도 및 휴양시설 지원', '경조사 지원금', '웰컴키트 지급', '선택적 복리후생', '자녀 학자금 지원', '명절 선물 및 귀향비 지원', '통근버스 운행', '재택 근무제도', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '주차장 및 주차비 지원', '우수사원 금전포상', '인센티브 및 성과급', '생일 선물 지원', '퇴직연금 및 퇴직금', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '육아 휴직', '여름 휴가', '체력단련휴가', '무료 간식 및 음료 제공', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '스탠딩 책상 지원', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '사내 카페 운영', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원', '어학 교육비 지원']"
'(주)다노'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '자사 제품 직원 할인', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '재택 근무제도', '자율 및 탄력 근무 제도', '우수사원 금전포상', '우리 사주 및 스톡옵션', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '육아 휴직', '스탠딩 책상 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '기타 자기계발비 지원', '도서구입비 지원']"
'(주)모비젠'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '의료비 지원 (본인,가족)', '명절 선물 및 귀향비 지원', '사택/기숙사 운영 및 지원', '경조사 지원금', '웰컴키트 지급', '선택적 복리후생', '콘도 및 휴양시설 지원', '회의비', '야간 교통비 지원', '통근버스 운행', '자율 및 탄력 근무 제도', '기숙사 및 사택 운영', '유류비 지원', '생일 선물 지원', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '명절수당(설,추석)', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '리프레쉬/장기근속 휴가', '결혼/장례 등 경조사 휴가', '사내 동호회 지원', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '수면실 및 휴게실 운영', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
,,
'(주)진학사'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '의료비 지원 (본인,가족)', '명절 선물 및 귀향비 지원', '경조사 지원금', '콘도 및 휴양시설 지원', '자녀 학자금 지원', '자사 제품 직원 할인', '통신비 지원', '웰컴키트 지급', '복리후생비/자기계발', '절반 근무 및 문화 데이', '야간 교통비 지원', '재택 근무제도', '월요일 10시 출근 금요일 5시 퇴근', '월요일 늦은 출근, 금요일 이른 퇴근', '점심시간 100분, 월요일 10시출근', '월금 1시간 단축근무', '수요일 점심시간 100분', '생일 선물 지원', '청년 내일 채움 공제 지원', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '리프레쉬/장기근속 휴가', '육아 휴직', '배우자 출산 휴가', '병가 (유급/무급)', '임산부 단축근무', '보건 휴가', '개인 연차', '아침/점심/저녁식사 지원 제공', '스탠딩 책상 지원', '사내 동호회 지원', '수면실 및 휴게실 운영', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원', '자격증 취득 지원', '대학원, 유학 지원', '멘토링 제도 운영']"
'스페이스워크(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '반차 및 시간제 연차 사용', '어린이집 지원/운영', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '컨퍼런스 개최 및 지원', '도서구입비 지원', '기타 자기계발비 지원', '멘토링 제도 운영']"
'시큐베이스(주)'의 복지,"['급여/보상', '연차/휴가', '교육/자기계발']","['생일 선물 지원', '병가 (유급/무급)', '창립 기념일 휴무', '자격증 취득 지원']"
'제이브릿지컴퍼니'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '무료 진료 지정 병원', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '주택 지원 대출', '자사 제품 직원 할인', '임신/출산 선물', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '통근버스 운행', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '장기근속자 금전포상', '연차 수당', '청년 내일 채움 공제 지원', '우수사원 금전포상', '생일 선물 지원', '여름 휴가', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '본인 출산 휴가', '배우자 출산 휴가', '휴직 (유급/무급)', '겨울 휴가', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '사내 동호회 지원', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '어학 교육비 지원']"
'한국내쇼날인스트루먼트(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '자율 및 탄력 근무 제도', '재택 근무제도', '유류비 지원', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '연차 수당', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '여름 휴가', '창립 기념일 휴무', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공']"
,,
'한국오라클(유)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '불임부부 지원', '사내 병원', '상담 서비스', '선택적 복리후생', '명절 선물 및 귀향비 지원', '경조사 지원금', '통신비 지원', '주택 지원 대출', '콘도 및 휴양시설 지원', '재택 근무제도', '유류비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '야간 교통비 지원', '통근버스 운행', '연차 수당', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '우수사원 금전포상', '우리 사주 및 스톡옵션', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '휴직 (유급/무급)', '육아 휴직', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '어린이집 지원/운영', '수면실 및 휴게실 운영', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '스탠딩 책상 지원', '자격증 취득 지원', '어학 교육비 지원', '본인 학자금 지원', '대학원, 유학 지원', '기타 자기계발비 지원', '상담 서비스']"
'(주)굿스플로'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '명절선물', '청년 내일 채움 공제 지원', '여름 휴가', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'(주)레드블루'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '경조사 지원금', '자사 제품 직원 할인', '재택 근무제도', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '보건 휴가', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '기타 자기계발비 지원']"
'(주)모비루스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '재택 근무제도']"
'(주)모션아이'의 복지,"['교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['재택 근무제도', '야간 교통비 지원', '절반 근무 및 문화 데이', '우수사원 금전포상', '결혼/장례 등 경조사 휴가', '육아 휴직', '임산부 단축근무', '반차 및 시간제 연차 사용', '무료 간식 및 음료 제공', '도서구입비 지원']"
'(주)미르이즈'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '사택/기숙사 운영 및 지원', '야간 교통비 지원', '유류비 지원', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '생일 선물 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '여름 휴가', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)쇼우테크'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '주차장 및 주차비 지원', '유류비 지원', '우수사원 금전포상', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '생일 선물 지원', '반차 및 시간제 연차 사용', '휴직 (유급/무급)', '여름 휴가', '무료 간식 및 음료 제공', '자격증 취득 지원']"
'(주)아이엠아이'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '직원 대출 지원', '야간 교통비 지원', '주차장 및 주차비 지원', '인센티브 및 성과급', '우수사원 금전포상', '퇴직연금 및 퇴직금', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '사내 동호회 지원', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '기타 자기계발비 지원', '도서구입비 지원', '어학 교육비 지원']"
'(주)이파피루스'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['상해/실손 보험 지원', '건강검진 지원 (본인/배우자)', '체력단련비 지원', '운동시설 운영', '통신비 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '경조사 지원금', '야간 교통비 지원', '자율 및 탄력 근무 제도', '유류비 지원', '재택 근무제도', '야근 및 휴일 특근 수당', '생일 선물 지원', '장기근속자 금전포상', '연차 수당', '청년 내일 채움 공제 지원', '퇴직연금 및 퇴직금', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '육아 휴직', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '애완 동물 친화', '도서구입비 지원', '어학 교육비 지원']"
'(주)테라핀테크'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['경조사 지원금', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '자율 및 탄력 근무 제도', '재택 근무제도', '장기근속자 금전포상', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '임산부 단축근무', '반차 및 시간제 연차 사용', '보건 휴가', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공']"
'엑스엘게임즈(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '복지 포인트', '통근버스 운행', '야간 교통비 지원', '재택 근무제도', '주차장 및 주차비 지원', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '사내 동호회 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '도서구입비 지원', '기타 자기계발비 지원']"
'펜타시스템테크놀러지(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '업무시간에 걍 병원갔다 오라함', '통신비 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '사택/기숙사 운영 및 지원', '경조사 지원금', '야간 교통비 지원', '우수사원 금전포상', '연차 수당', '생일 선물 지원', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '우리 사주 및 스톡옵션', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '여름 휴가', '사내 동호회 지원', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '도서구입비 지원', '기타 자기계발비 지원', '어학 교육비 지원', '자격증 취득 지원', '대학원, 유학 지원', '컨퍼런스 개최 및 지원']"
'(주)골프존'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '불임부부 지원', '사내 병원', '무료 진료 지정 병원', '경조사 지원금', '선택적 복리후생', '직원 대출 지원', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '웰컴키트 지급', '사택/기숙사 운영 및 지원', '자녀 학자금 지원', '통신비 지원', '콘도 및 휴양시설 지원', '임신/출산 선물', '주차장 및 주차비 지원', '야간 교통비 지원', '기숙사 및 사택 운영', '절반 근무 및 문화 데이', '자율 및 탄력 근무 제도', '통근버스 운행', '유류비 지원', '재택 근무제도', '주 4일 / 주 4.5일 근무', '우수사원 금전포상', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '우리 사주 및 스톡옵션', '위험 수당', '청년 내일 채움 공제 지원', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '여름 휴가', '사내 동호회 지원', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '어린이집 지원/운영', '최고 성능 PC/노트북 지원', '도서구입비 지원', '어학 교육비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '기타 자기계발비 지원']"
'(주)바로고'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '임신/출산 선물', '경조사 지원금', '직원 대출 지원', '통신비 지원', '주 4일 / 주 4.5일 근무', '재택 근무제도', '야간 교통비 지원', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '우리 사주 및 스톡옵션', '우수사원 금전포상', '생일 선물 지원', '복지 포인트', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '여름 휴가', '보건 휴가', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '사내 카페태리아', '기타 자기계발비 지원', '도서구입비 지원', '자격증 취득 지원', '멘토링 제도 운영']"
'(주)싸이버로지텍'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '통신비 지원', '자녀 학자금 지원', '선택적 복리후생', '경조사 지원금', '콘도 및 휴양시설 지원', '점심값', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '주차장 및 주차비 지원', '절반 근무 및 문화 데이', '인센티브 및 성과급', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '우수사원 금전포상', '연차 수당', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '여름 휴가', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '아침/점심/저녁식사 지원 제공', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '어학 교육비 지원']"
'두산정보통신(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '무료 진료 지정 병원', '주택 지원 대출', '경조사 지원금', '자녀 학자금 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '장기근속자 금전포상', '인센티브 및 성과급']"
'라온시큐어(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '경조사 지원금', '콘도 및 휴양시설 지원', '사택/기숙사 운영 및 지원', '통신비 지원', '선택적 복리후생', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '야간 교통비 지원', '주차장 및 주차비 지원', '재택 근무제도', '유류비 지원', '생일 선물 지원', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '청년 내일 채움 공제 지원', '직원추천포상금', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '여름 휴가', '창립 기념일 휴무', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '임산부 단축근무', '패밀리데이', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '어학 교육비 지원', '대학원, 유학 지원', '본인 학자금 지원', '인프런 강의 지원']"
기업 추천 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '무료 진료 지정 병원', '코로나 백신휴가 1일', '독감 예방접종', '통신비 지원', '명절 선물 및 귀향비 지원', '자사 제품 직원 할인', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '주차장 및 주차비 지원', '기숙사 및 사택 운영', '주 4일 / 주 4.5일 근무', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '청년 내일 채움 공제 지원', '생일 선물 지원', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '안마실 및 안마 의자 운영', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'신영이에스디(주)'의 복지,"['지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['경조사 지원금', '명절 선물 및 귀향비 지원', '생일 선물', '사우회', '야간 교통비 지원', '자율 및 탄력 근무 제도', '법인차 사용', '우수사원 금전포상', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '육아 휴직', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '무료 간식 및 음료 제공']"
'아슈리온코리아(유)'의 복지,['아슈리온코리아(유)의 특별한 복지'],"['카페테리아 (자기계발, 건강관리 등)', '모바일폰 사용요금 지원', '건강검진 지원', '리프레시 휴가 지원', '인센티브/성과급 ', '단체보험 (임직원 및 부양가족)', '상조 서비스 지원', '유연근무제 ', '패밀리 데이 ', '심리상담(EAP) 지원']"
,,
,,
'(주)샘빌'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '자사 제품 직원 할인', '경조사 지원금', '통신비 지원', '명절 선물 및 귀향비 지원', '선택적 복리후생', '웰컴키트 지급', '야간 교통비 지원', '주차장 및 주차비 지원', '재택 근무제도', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '통근버스 운행', '샘빌데이', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '장기근속자 금전포상', '인센티브 및 성과급', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '기타 자기계발비 지원']"
,,
'(주)이메인텍'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '유류비 지원', '자율 및 탄력 근무 제도', '우수사원 금전포상', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '여름 휴가', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '기타 자기계발비 지원']"
'(주)코그넷나인'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '경조사 지원금', '웰컴키트 지급', '임신/출산 선물', '명절 선물 및 귀향비 지원', '선택적 복리후생', '야간 교통비 지원', '재택 근무제도', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '생일 선물 지원', '복지몰 포인트', '복지포인트 제공', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '휴직 (유급/무급)', '육아 휴직', '보건 휴가', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '업무용 소프트 웨어 제공', '도서구입비 지원', '자격증 취득 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
,,
,,
'비앤에프테크놀로지(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '무료 진료 지정 병원', '체력단련비 지원', '불임부부 지원', '사내 병원', '명절 선물 및 귀향비 지원', '경조사 지원금', '직원 대출 지원', '주택 지원 대출', '선택적 복리후생', '콘도 및 휴양시설 지원', '임신/출산 선물', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '우수사원 금전포상', '우리 사주 및 스톡옵션', '생일 선물 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '육아 휴직', '병가 (유급/무급)', '휴직 (유급/무급)', '임산부 단축근무', '여름 휴가', '창립 기념일 휴무', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원']"
'(주)구하다'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '자사 제품 직원 할인', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '연차 수당', '육아 휴직', '반차 및 시간제 연차 사용', '입사1년 미만, 월차만 사용 가능', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원']"
